ID;TABELA;OPIS_TABELE;POLJE_PK;IME;VREDNOST_N;VREDNOST_C;OPIS
1221;MATERIAL_NOSILNE_KONSTRUKCIJE;Material nosilne konstrukcije;ID_KONSTRUKCIJE;kovinska konstrukcija;6;;6 - kovinska konstrukcija
1216;MATERIAL_NOSILNE_KONSTRUKCIJE;Material nosilne konstrukcije;ID_KONSTRUKCIJE;opeka;1;;1 - opeka
1217;MATERIAL_NOSILNE_KONSTRUKCIJE;Material nosilne konstrukcije;ID_KONSTRUKCIJE;beton, železobeton;2;;2 - beton, železobeton
1218;MATERIAL_NOSILNE_KONSTRUKCIJE;Material nosilne konstrukcije;ID_KONSTRUKCIJE;kamen;3;;3 - kamen
1219;MATERIAL_NOSILNE_KONSTRUKCIJE;Material nosilne konstrukcije;ID_KONSTRUKCIJE;les;4;;4 - les
1220;MATERIAL_NOSILNE_KONSTRUKCIJE;Material nosilne konstrukcije;ID_KONSTRUKCIJE;kombinacija različnih materialov;5;;5 - kombinacija različnih materialov
1222;MATERIAL_NOSILNE_KONSTRUKCIJE;Material nosilne konstrukcije;ID_KONSTRUKCIJE;montažna gradnja;7;;7 - montažna gradnja
1223;MATERIAL_NOSILNE_KONSTRUKCIJE;Material nosilne konstrukcije;ID_KONSTRUKCIJE;drug material;8;;8 - drug material
1226;VRSTA_OGREVANJA;Vrsta ogrevanja;ID_OGREVANJE;drugo ogrevanje;3;;3 - drugo ogrevanje
1224;VRSTA_OGREVANJA;Vrsta ogrevanja;ID_OGREVANJE;daljinsko ogrevanje;1;;1 - daljinsko ogrevanje
1225;VRSTA_OGREVANJA;Vrsta ogrevanja;ID_OGREVANJE;centralno ogrevanje;2;;2 - centralno ogrevanje
1227;VRSTA_OGREVANJA;Vrsta ogrevanja;ID_OGREVANJE;ni ogrevanja;4;;4 - ni ogrevanja
1230;TIP_STAVBE;Tip stavbe;ID_TIP_STAVBE;krajna;3;;3 - krajna
1228;TIP_STAVBE;Tip stavbe;ID_TIP_STAVBE;samostoječa;1;;1 - samostoječa
1231;TIP_STAVBE;Tip stavbe;ID_TIP_STAVBE;vmesna;4;;4 - vmesna
4020;TIP_STAVBE;Tip stavbe;ID_TIP_STAVBE;vinska klet, zidanica;5;;5 - vinska klet, zidanica
1233;NACIN_TEMELJENJA;Nacin temeljenja;ID_TEMELJENJE;temeljna plošča;2;;2 - temeljna plošča
1232;NACIN_TEMELJENJA;Nacin temeljenja;ID_TEMELJENJE;pasovni, točkovni temelji;1;;1 - pasovni, točkovni temelji
1234;NACIN_TEMELJENJA;Nacin temeljenja;ID_TEMELJENJE;temeljenje na pilotih, vodnjakih;3;;3 - temeljenje na pilotih, vodnjakih
1235;NACIN_TEMELJENJA;Nacin temeljenja;ID_TEMELJENJE;ni temeljeno;4;;4 - ni temeljeno
1714;LEGA_V_STAVBI;Lega v stavbi;ID_LEGA;pritličje;2;;2 - pritličje
1716;LEGA_V_STAVBI;Lega v stavbi;ID_LEGA;mansarda;4;;4 - mansarda
1717;LEGA_V_STAVBI;Lega v stavbi;ID_LEGA;drugo;5;;5 - drugo
1713;LEGA_V_STAVBI;Lega v stavbi;ID_LEGA;klet;1;;1 - klet
1715;LEGA_V_STAVBI;Lega v stavbi;ID_LEGA;nadstropje;3;;3 - nadstropje
1721;VRSTA_NAJEMA;Vrsta najema;ID_VR_NAJEMA;službeni najem;4;;4 - službeni najem
1718;VRSTA_NAJEMA;Vrsta najema;ID_VR_NAJEMA;ni v najemu;1;;1 - ni v najemu
1719;VRSTA_NAJEMA;Vrsta najema;ID_VR_NAJEMA;neprofitni najem;2;;2 - neprofitni najem
