STA_SID,DEJANSKA_RABA,OB_MID,ID_TIP_STAVBE,LETO_IZG_STA,LETO_OBN_STREHE,LETO_OBN_FASADE,ID_KONSTRUKCIJE,ID_OGREVANJE,UPORABNA_POVRSINA,NETO_TLORIS,HEATED_AREA,ENOSTANOVANJSKE_STAVBE,VECSTANOVANJSKE_STAVBE,STANOVANJSKE_STAVBE_ZA_POSEBNE_NAMEN,JAVNA_UPRAVA,TURIZEM_NASTANITVENI_OBJEKTI,STAVBE_ZA_KULTURO,OBREDNE_STAVBE,STAVBE_ZA_IZOBRAZEVANJE,STAVBE_ZA_ZDRAVSTVENO_OSKRBO,SPORTNA_DVORANA,POKRIT_PROSTOR_ZA_SPORT_IN_PRIREDITVE,POKRIT_PLAVALNI_BAZEN,INDUSTRIJA,POSLOVNO_STORITVENI_SEKTOR,BENCINSKI_SERVIS,PROMETNA_INFRASTRUKTURA,GASILSKI_DOM,OSTALO,ADDRESS,NA_MID,PREDICTED_HEAT_m2,PREDICTED_HEAT_kWh,TEMP_DEFICIT,Naziv namen naprave,Naziv vrsta naprave,kW_m2_stevilo,INSTALLATION_YEAR,ELKO,ZP,UNP,BIOMASS,PELETI,SEKANCI,POLENA,NARAVNI_LES,HEAT_PUMP_AIR,HEAT_PUMP_GROUND,SOLAR_THERMAL,GEOTHERMAL,DISTRICT_HEAT,COAL,NA_FUEL,DATA_SOURCE,FINAL_ENERGY_m2,USEFUL_ENERGY_CLASS,FINAL_ENERGY_CLASS,card_number
10109828,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1990,0,0,drug material,"centralno ogrevanje, ",88.3,110.4,88.3,88.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 40,10102413,105.0,11696,3500,Ogrevanje zraka,Lokalna kurilna naprava - štedilnik,25.0,1950.0,0,0,0,0,0.0,0.0,0.0,13141.976688810939,0,0,0,0,0,0,0,Evidim,119,D,E,
10109829,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1970,0,0,opeka,"centralno ogrevanje, ",94.7,212.0,94.7,94.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 8,10102413,73.0,15485,3700,Ogrevanje in priprava sanitarne vode,Centralna standardna kurilna naprava,25.0,1995.0,16832,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Evidim,79,D,D,
10109830,Industrijski del stavbe,11026630,samostoječa,1999,0,0,opeka,"centralno ogrevanje, ",55.9,55.9,55.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9,0.0,0.0,0.0,0.0,0.0,,0,163.0,9162,3700,,,,,0,0,0,0,,,,,0,0,0,0,0,0,10180,Ni vira,182,F,F,
10109831,Prostor za spravilo pridelka,11026630,samostoječa,1955,1985,0,opeka,"ni ogrevanja, ",61.3,61.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.3,,0,156.0,9614,3700,,,,,0,0,0,0,,,,,0,0,0,0,0,0,10683,Ni vira,174,F,F,
10109835,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1956,0,0,opeka,"centralno ogrevanje, ",106.9,135.6,106.9,106.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 34,10102413,101.0,13823,3700,Ogrevanje in priprava sanitarne vode,Centralna kurilna naprava - kotel,30.0,1997.0,0,0,0,0,0.0,0.0,0.0,15025.906852210177,0,0,0,0,0,0,0,Evidim,110,D,E,
10109836,Drug kmetijski del stavbe,11026630,samostoječa,1955,0,0,drug material,"centralno ogrevanje, ",17.1,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,,0,222.0,3813,3700,,,,,0,0,0,0,,,,,0,0,0,0,0,0,4236,Ni vira,247,G,G,
10109837,Nestavba,11026630,samostoječa,1955,0,0,drug material,"centralno ogrevanje, ",8.1,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,,0,222.0,1806,3700,,,,,0,0,0,0,,,,,0,0,0,0,0,0,2006,Ni vira,247,G,G,
10109838,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1968,0,0,opeka,"centralno ogrevanje, ",96.0,218.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 38,10102413,69.0,15245,3700,,"vgradnja kurilne naprave za centralno ogrevanje stanovanjske stavbe na lesno biomaso, 
 vgradnja toplotne črpalke za pripravo sanitarne tople vode in/ali centralno ogrevanje stanovanjske stavbe","25.0,  1.0",2013,0,0,0,8024,0.0,0.0,0.0,0.0,7622,0,0,0,0,0,0,Eko sklad,71,D,D,
10109839,garaža,11026630,samostoječa,1975,0,0,opeka,"ni ogrevanja, ",137.8,137.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.8,Adergas 4,10102413,90.0,12452,3700,,,,,0,0,0,0,,,,,0,0,0,0,0,0,13835,Ni vira,100,D,D,
10109840,Stanovanje v samostoječi stavbi z enim stanovanjem,11026630,samostoječa,1968,1997,0,opeka,"centralno ogrevanje, ",91.9,297.6,91.9,91.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adergas 37,10102413,48.0,14458,3700,Ogrevanje in priprava sanitarne vode,Centralna kurilna naprava - kotel,40.0,2000.0,0,0,0,0,0.0,0.0,0.0,15380.975179970275,0,0,0,0,0,0,0,Evidim,51,C,C,
