,ENOSTANOVANJSKE_STAVBE,VECSTANOVANJSKE_STAVBE,STANOVANJSKE_STAVBE_ZA_POSEBNE_NAMEN,JAVNA_UPRAVA,TURIZEM_NASTANITVENI_OBJEKTI,STAVBE_ZA_KULTURO,OBREDNE_STAVBE,STAVBE_ZA_IZOBRAZEVANJE,STAVBE_ZA_ZDRAVSTVENO_OSKRBO,SPORTNA_DVORANA,POKRIT_PROSTOR_ZA_SPORT_IN_PRIREDITVE,POKRIT_PLAVALNI_BAZEN,INDUSTRIJA,POSLOVNO_STORITVENI_SEKTOR,BENCINSKI_SERVIS,PROMETNA_INFRASTRUKTURA,GASILSKI_DOM
ELKO,28439852,12097135,129111,54983,1732,108190,231405,1014851,17541,229055,0,0,1314846,1332683,101924,0,127535
ZP,17379405,29201486,3768301,2855619,2455914,1449844,150116,4473994,2904053,1007513,0,0,43570309,67230037,94438,0,217743
UNP,247376,73845,0,0,0,0,21605,0,0,0,0,0,162905,51252,0,0,0
BIOMASS,3922999,900395,0,0,0,0,12582,55450,1858,0,0,0,35458,81433,0,0,0
PELETI,2687159,994697,0,0,0,0,0,0,0,0,0,0,0,47815,0,0,16775
SEKANCI,239930,104109,0,0,0,0,0,0,0,0,0,0,75709,516476,0,0,0
POLENA,896214,26220,0,0,0,0,0,0,0,0,0,0,4285,0,0,0,0
NARAVNI_LES,20338520,5408739,8761,0,3103,4655,41240,34772,0,0,0,0,162168,395483,0,28979,0
HEAT_PUMP_AIR,8451047,2834785,0,0,0,0,0,0,0,0,0,0,19217,177597,0,0,0
HEAT_PUMP_GROUND,294403,126380,0,0,0,3267,0,284690,0,0,0,0,749760,70703,0,0,0
SOLAR_THERMAL,759820,225328,0,0,0,0,0,0,1765,0,0,0,11222,5759,0,0,0
GEOTHERMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT_HEAT,0,0,0,0,0,0,0,623625,0,356533,0,0,0,0,0,0,0
COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA_FUEL,22218317,7061928,3707207,712328,185970,869733,1482324,1251906,3138599,2068659,383487,0,37774793,8208448,190219,39427,113395
